TableName,ColumnName,ColumnType,DataType
IdentityLogonEvents,AdditionalFields,dynamic,System.Object
IdentityLogonEvents,UncommonForUser,dynamic,System.Object
IdentityLogonEvents,LastSeenForUser,dynamic,System.Object
OAuthAppInfo,ReportId,string,System.String
OAuthAppInfo,Timestamp,datetime,System.DateTime
OAuthAppInfo,OAuthAppId,string,System.String
OAuthAppInfo,ServicePrincipalId,string,System.String
OAuthAppInfo,AppName,string,System.String
OAuthAppInfo,AddedOnTime,datetime,System.DateTime
OAuthAppInfo,LastModifiedTime,datetime,System.DateTime
OAuthAppInfo,AppStatus,string,System.String
OAuthAppInfo,VerifiedPublisher,dynamic,System.Object
OAuthAppInfo,PrivilegeLevel,string,System.String
OAuthAppInfo,Permissions,dynamic,System.Object
OAuthAppInfo,IsAdminConsented,bool,System.SByte
OAuthAppInfo,ConsentedUsersCount,int,System.Int32
OAuthAppInfo,AppOrigin,string,System.String
OAuthAppInfo,AppOwnerTenantId,string,System.String
OAuthAppInfo,LastUsedTime,datetime,System.DateTime
EmailAttachmentInfo,Timestamp,datetime,System.DateTime
EmailAttachmentInfo,NetworkMessageId,string,System.String
EmailAttachmentInfo,SenderFromAddress,string,System.String
EmailAttachmentInfo,SenderDisplayName,string,System.String
EmailAttachmentInfo,SenderObjectId,string,System.String
EmailAttachmentInfo,RecipientEmailAddress,string,System.String
EmailAttachmentInfo,RecipientObjectId,string,System.String
EmailAttachmentInfo,FileName,string,System.String
EmailAttachmentInfo,FileType,string,System.String
EmailAttachmentInfo,SHA256,string,System.String
EmailAttachmentInfo,FileSize,long,System.Int64
EmailAttachmentInfo,ThreatTypes,string,System.String
EmailAttachmentInfo,ThreatNames,string,System.String
EmailAttachmentInfo,DetectionMethods,string,System.String
EmailAttachmentInfo,ReportId,string,System.String
EmailAttachmentInfo,FileExtension,string,System.String
EmailEvents,Timestamp,datetime,System.DateTime
EmailEvents,NetworkMessageId,string,System.String
EmailEvents,InternetMessageId,string,System.String
EmailEvents,SenderMailFromAddress,string,System.String
EmailEvents,SenderFromAddress,string,System.String
EmailEvents,SenderDisplayName,string,System.String
EmailEvents,SenderObjectId,string,System.String
EmailEvents,SenderMailFromDomain,string,System.String
EmailEvents,SenderFromDomain,string,System.String
EmailEvents,SenderIPv4,string,System.String
EmailEvents,SenderIPv6,string,System.String
EmailEvents,RecipientEmailAddress,string,System.String
EmailEvents,RecipientObjectId,string,System.String
EmailEvents,Subject,string,System.String
EmailEvents,EmailClusterId,long,System.Int64
EmailEvents,EmailDirection,string,System.String
EmailEvents,DeliveryAction,string,System.String
EmailEvents,DeliveryLocation,string,System.String
EmailEvents,ThreatTypes,string,System.String
EmailEvents,ThreatNames,string,System.String
EmailEvents,DetectionMethods,string,System.String
EmailEvents,ConfidenceLevel,string,System.String
EmailEvents,BulkComplaintLevel,int,System.Int32
EmailEvents,EmailAction,string,System.String
EmailEvents,EmailActionPolicy,string,System.String
EmailEvents,EmailActionPolicyGuid,string,System.String
EmailEvents,AuthenticationDetails,string,System.String
EmailEvents,AttachmentCount,int,System.Int32
EmailEvents,UrlCount,int,System.Int32
EmailEvents,EmailLanguage,string,System.String
EmailEvents,Connectors,string,System.String
EmailEvents,OrgLevelAction,string,System.String
EmailEvents,OrgLevelPolicy,string,System.String
EmailEvents,UserLevelAction,string,System.String
EmailEvents,UserLevelPolicy,string,System.String
EmailEvents,ReportId,string,System.String
EmailEvents,AdditionalFields,string,System.String
EmailEvents,ExchangeTransportRule,string,System.String
EmailEvents,DistributionList,string,System.String
EmailEvents,ForwardingInformation,string,System.String
EmailEvents,Context,string,System.String
EmailEvents,To,dynamic,System.Object
EmailEvents,Cc,dynamic,System.Object
EmailEvents,ThreatClassification,string,System.String
EmailEvents,RecipientDomain,string,System.String
EmailEvents,EmailSize,long,System.Int64
EmailEvents,IsFirstContact,bool,System.SByte
EmailEvents,LatestDeliveryLocation,string,System.String
EmailEvents,LatestDeliveryAction,string,System.String
EmailPostDeliveryEvents,Timestamp,datetime,System.DateTime
EmailPostDeliveryEvents,NetworkMessageId,string,System.String
EmailPostDeliveryEvents,InternetMessageId,string,System.String
EmailPostDeliveryEvents,Action,string,System.String
EmailPostDeliveryEvents,ActionType,string,System.String
EmailPostDeliveryEvents,ActionTrigger,string,System.String
EmailPostDeliveryEvents,ActionResult,string,System.String
EmailPostDeliveryEvents,RecipientEmailAddress,string,System.String
EmailPostDeliveryEvents,DeliveryLocation,string,System.String
EmailPostDeliveryEvents,ThreatTypes,string,System.String
EmailPostDeliveryEvents,DetectionMethods,string,System.String
EmailPostDeliveryEvents,ReportId,string,System.String
EmailPostDeliveryEvents,SenderFromAddress,string,System.String
EmailPostDeliveryEvents,EmailDirection,string,System.String
EmailUrlInfo,Timestamp,datetime,System.DateTime
EmailUrlInfo,NetworkMessageId,string,System.String
EmailUrlInfo,Url,string,System.String
EmailUrlInfo,UrlDomain,string,System.String
EmailUrlInfo,UrlLocation,string,System.String
EmailUrlInfo,ReportId,string,System.String
EmailUrlInfo,UrlChainId,string,System.String
EmailUrlInfo,UrlChainPosition,int,System.Int32
MessageEvents,Timestamp,datetime,System.DateTime
MessageEvents,LastEditedTime,datetime,System.DateTime
MessageEvents,TeamsMessageId,string,System.String
MessageEvents,SenderEmailAddress,string,System.String
MessageEvents,SenderDisplayName,string,System.String
MessageEvents,SenderObjectId,string,System.String
MessageEvents,SenderType,string,System.String
MessageEvents,RecipientDetails,dynamic,System.Object
MessageEvents,IsOwnedThread,bool,System.SByte
MessageEvents,MessageId,string,System.String
MessageEvents,ParentMessageId,string,System.String
MessageEvents,GroupId,string,System.String
MessageEvents,GroupName,string,System.String
MessageEvents,ThreadId,string,System.String
MessageEvents,ThreadName,string,System.String
MessageEvents,ThreadType,string,System.String
MessageEvents,ThreadSubType,string,System.String
MessageEvents,IsExternalThread,bool,System.SByte
MessageEvents,MessageType,string,System.String
MessageEvents,MessageSubtype,string,System.String
MessageEvents,MessageVersion,string,System.String
MessageEvents,Subject,string,System.String
MessageEvents,ThreatTypes,string,System.String
MessageEvents,DetectionMethods,dynamic,System.Object
MessageEvents,ConfidenceLevel,dynamic,System.Object
MessageEvents,DeliveryAction,string,System.String
MessageEvents,DeliveryLocation,string,System.String
MessageEvents,ReportId,string,System.String
MessageEvents,SafetyTip,string,System.String
MessagePostDeliveryEvents,Timestamp,datetime,System.DateTime
MessagePostDeliveryEvents,TeamsMessageId,string,System.String
MessagePostDeliveryEvents,Action,string,System.String
MessagePostDeliveryEvents,ActionType,string,System.String
MessagePostDeliveryEvents,ActionTrigger,string,System.String
MessagePostDeliveryEvents,ActionResult,string,System.String
MessagePostDeliveryEvents,SenderEmailAddress,string,System.String
MessagePostDeliveryEvents,RecipientDetails,dynamic,System.Object
MessagePostDeliveryEvents,IsExternalThread,bool,System.SByte
